env,ordering,state_index,state_type,cut,singular_index,singular_value,exact_unfolding,matrix_rows,matrix_cols,used_rows,used_cols
HM8,local,0,easy,12,5,5.8162158191400216e-08,False,191102976,576,512,512
HM8,local,0,easy,12,6,4.6753242445350395e-08,False,191102976,576,512,512
HM8,local,0,easy,12,7,3.654095447821304e-08,False,191102976,576,512,512
HM8,local,0,easy,12,8,3.139791850582944e-08,False,191102976,576,512,512
HM8,local,0,easy,12,9,2.8853508820745578e-08,False,191102976,576,512,512
HM8,local,0,easy,12,10,2.158166437336129e-08,False,191102976,576,512,512
HM8,local,0,easy,12,11,1.6142559913407027e-08,False,191102976,576,512,512
HM8,local,0,easy,12,12,1.595521561264198e-08,False,191102976,576,512,512
HM8,local,0,easy,12,13,1.0198904285985575e-08,False,191102976,576,512,512
HM8,local,0,easy,12,14,8.529967496433588e-09,False,191102976,576,512,512
HM8,local,0,easy,12,15,6.277109141696627e-09,False,191102976,576,512,512
HM8,local,0,easy,12,16,4.537990812570446e-09,False,191102976,576,512,512
HM8,local,0,easy,12,17,4.3322315474565765e-09,False,191102976,576,512,512
HM8,local,0,easy,12,18,3.429218191240604e-09,False,191102976,576,512,512
HM8,local,0,easy,12,19,3.168444225410613e-09,False,191102976,576,512,512
HM8,local,0,easy,12,20,2.6330743759202873e-09,False,191102976,576,512,512
HM8,local,0,easy,12,21,2.432471841207583e-09,False,191102976,576,512,512
HM8,local,0,easy,12,22,2.3124874509347763e-09,False,191102976,576,512,512
HM8,local,0,easy,12,23,2.133309166956223e-09,False,191102976,576,512,512
HM8,local,0,easy,12,24,2.0131754838590035e-09,False,191102976,576,512,512
HM8,local,0,easy,12,25,1.8927385274133426e-09,False,191102976,576,512,512
HM8,local,0,easy,12,26,1.5840842015455116e-09,False,191102976,576,512,512
HM8,local,0,easy,12,27,1.4857982470399675e-09,False,191102976,576,512,512
